city,pc_road_rank,mean_degree,kappa,degree3_share,degree4plus_share,cebh,derived_2_over_k,anchor,d_eff
Accra,0.725,2.6747641140593235,2.9877606704346134,0.6781004013970703,0.1000364906427566,0.5030786728370852,0.747729487429351,0.6330722187859008,2.0647314304744198
Addis Ababa,0.7,2.8295156427424724,3.073509264768969,0.7175104741767493,0.1283135596538627,0.48227418945794787,0.7068347563760153,0.6295381309948231,2.019720424354465
Algiers,0.75,2.661843984702576,2.97400034620045,0.6782933235036631,0.0925217711837073,0.5065855241235379,0.7513588367664876,0.6343744607047783,2.003630141737381
Cairo,0.7,2.762988962659111,3.038398197635621,0.7059415570685499,0.1149067534993868,0.4905812814983451,0.7238537782920393,0.6313273686475293,2.0705580465473408
Casablanca,0.675,3.019002761084944,3.174467398321498,0.7424070164040929,0.1714038222077852,0.45988272841980254,0.662470411017861,0.6240609680257581,1.9635518552716005
Dakar,0.7,3.01348518725545,3.173734610123119,0.7447596422582449,0.1714295695919508,0.4600377595972309,0.6636833684991537,0.6241310313438613,1.9013559386080374
Dar es Salaam,0.775,2.6735389028325565,2.970059679474284,0.69935460738616,0.0863212621011115,0.5075988359230076,0.7480721518138537,0.6359262790285476,1.9328422170471982
Johannesburg,0.65,2.9250627465041235,3.2014280460897275,0.6079688060236644,0.2273664395840803,0.4542505950972341,0.6837460161804364,0.611139872298325,2.1095198313243424
Kampala,0.825,2.3041723494864588,2.740789060423764,0.5959584713446712,0.0348484426754251,0.5744521393973878,0.8679906259814936,0.6442676492938584,2.109949132094358
Lagos,0.75,2.7146529562982007,3.01882798573975,0.6792681082715862,0.1145471041887191,0.49533690193697927,0.7367424242424242,0.6306685916449755,1.965260545905707
Nairobi,0.825,2.452700348432056,2.84057250417303,0.6293554006968641,0.0580574912891986,0.5433092136999518,0.8154277799481477,0.639806606185498,1.9770607747972786
Tunis,0.7,2.8892789109822137,3.082494999629602,0.7556773185505448,0.1199888701012392,0.48019322984106216,0.6922142380917105,0.6317793038370825,1.9779996650757767
Bangkok,0.85,2.2628538964113245,2.75776215582894,0.5238298140958874,0.0665498847962629,0.5689051824695883,0.8838396518537117,0.6354902987811593,2.0829240281779686
Bengaluru,0.7,2.695482305119528,3.0507602322057346,0.6218514754777668,0.1478042957072526,0.48762404512029706,0.7419822405071631,0.6233785158269722,2.1276021502505365
Chennai,0.725,2.6802374893977947,3.0062236286919832,0.6599990575817548,0.1156582791442842,0.49844891950155107,0.7462025316455696,0.6299340015197303,2.060251798561151
Delhi,0.7,2.8958888401740244,3.1323573940791465,0.6897069238811507,0.1665879734241678,0.46896453792252196,0.6906342440546899,0.6229958993794755,1.9735940003677532
Dhaka,0.725,2.674616884926164,2.995499624968748,0.672387851769295,0.1062412928392309,0.5011276311393249,0.7477706475539627,0.6318677528389077,2.0648524516232394
Hanoi,0.75,2.720736698499318,3.045128616557188,0.6470327421555252,0.1343792633015006,0.48896680233413425,0.7350950208093064,0.6264432300188263,1.9610278934085021
Ho Chi Minh City,0.725,2.567982998072456,2.976481003887755,0.5862205308159937,0.1247467009341175,0.5059497146863499,0.7788213557103815,0.6259101793107458,2.1603786299468646
Hong Kong,0.675,2.931931377974544,3.149716874292185,0.679136690647482,0.1744327614831212,0.4651775366136341,0.6821442053605132,0.6214976093972292,2.021394454964248
Hyderabad,0.75,2.683174048608078,3.048526049631324,0.6112064675353693,0.1505367607479103,0.4881558622014943,0.7453858615834179,0.6225261371164539,1.987770866773676
Jakarta,0.7,2.609137662958976,2.9518832607533043,0.6578957859905115,0.0923533867559701,0.512325721577254,0.7665367866147147,0.6339062913771359,2.2100730877776975
Karachi,0.675,3.0290666462152007,3.2390368644926064,0.6611319886494363,0.2322455709793695,0.4466206054300997,0.66026939436905,0.6130062683845439,1.9572859156584046
Kuala Lumpur,0.7,2.74092387069035,3.0124708327614265,0.7035175879396985,0.1009862144949345,0.4969016115517276,0.7296809741367478,0.6335353536428462,2.0885577553121784
Manila,0.65,2.934929599872723,3.22569453855536,0.5924349693739559,0.2409911701535279,0.4492979529208324,0.6814473505895108,0.6085482861173115,2.1016804329250927
Mumbai,0.725,2.7366174055829227,3.0725229009160366,0.6223864258347017,0.1571975916803503,0.48250371542722587,0.7308292331693268,0.6219120370356436,2.0162109847568352
Osaka,0.625,3.0,3.2384598745403417,0.6401903525849015,0.2326411421155094,0.44673572726218547,0.6666666666666666,0.6120026038397824,2.142857142857143
Seoul,0.675,2.9877833208940565,3.2140283986326583,0.671151353262364,0.2066229327886239,0.4516653899369949,0.6693925848014726,0.6167580998833467,1.9835223211698572
Singapore,0.675,2.88321709452441,3.142151312403499,0.6566998070930405,0.1794034723252708,0.46682043150257085,0.6936695831188883,0.6199378790433934,2.0568908057243673
Taipei,0.6,3.0388088845496704,3.3165060240963857,0.5738955333170612,0.2842933854039541,0.43168461018359594,0.6581526104417671,0.6021173050401765,2.2146457159798403
Tokyo,0.625,3.158308244650878,3.338488673205146,0.6240561557161947,0.2937227311512888,0.4276266169078314,0.6332504129029627,0.6038329066159509,2.0267544983428247
Amsterdam,0.7,2.8349640101719755,3.142791984674796,0.6000603422266282,0.1897763027455713,0.466680857102313,0.7054763280323532,0.6160131045589081,2.015770025568281
Athens,0.625,3.231728892698853,3.418046572528304,0.5657613949331534,0.3600598245390045,0.4135569642707098,0.6188637928504509,0.5933158856166072,1.9805550463432844
Barcelona,0.625,3.086644532505088,3.278868841082581,0.651868908643033,0.2494912712862804,0.4388141967507652,0.6479528105482302,0.6104361612714422,2.0762492075384698
Lisbon,0.75,2.7538784381323542,3.018097700367397,0.6940717979464888,0.1047740388218541,0.49551614860764615,0.7262484691794802,0.63267552802825,1.9386068269349135
London,0.775,2.589373978863773,2.923133446215776,0.6475709883564619,0.0824561040679999,0.5199847165924646,0.772387463659308,0.6354558633895055,1.9932806218557477
Milan,0.65,2.9665436176413444,3.15110552237242,0.7252768603069749,0.1587721002525743,0.46487724084177706,0.6741852666876245,0.6252786043555665,2.07729209748583
Paris,0.65,2.987116331943918,3.202769069063627,0.6759053754127646,0.1949602122015915,0.45397405204399804,0.6695420525180769,0.6185179616038177,2.0619931990583313
Prague,0.7,2.7619143882346995,3.0973101555352245,0.5998382776570476,0.1698589983322383,0.4768012005095185,0.7241354071363221,0.6190045672056737,2.071420836040719
Rome,0.675,2.868242851062184,3.12524958178188,0.6739542622760516,0.160662461788492,0.47053297107889164,0.6972910258485779,0.6233084231605615,2.0683031082192738
Vienna,0.675,2.9657949968801405,3.243669191339607,0.5940212150433944,0.2430654035963469,0.4456985030858935,0.6743554433478693,0.6083629848169554,1.9980920244356755
Warsaw,0.7,2.76885451029462,3.08298755186722,0.6242748265271301,0.1592537822773291,0.48007968127490036,0.7223203648165645,0.6216663185144851,2.0658729100234003
Bogota,0.65,2.966545668596096,3.225213307758449,0.6259688021191013,0.231972922593937,0.44939511934131926,0.674184800582049,0.6114151634982621,2.077290550323937
Buenos Aires,0.575,3.462896220312356,3.627321733561059,0.3917382866648184,0.5494871084003327,0.3806157377781841,0.5775512382578991,0.5635553018890294,2.0089134204784904
Lima,0.65,3.068042906294272,3.258179851179482,0.6690143695608176,0.2385144707549079,0.44283452421988645,0.651881365771281,0.6125704528909681,2.005805621600495
Mexico City,0.625,3.0717481190266387,3.3441165112815137,0.5438724327255473,0.3192571002507964,0.42659995575616944,0.6510950515805153,0.5962211342997888,2.0871425479097487
Montevideo,0.6,3.2628442700385145,3.457193763919822,0.5202383547707289,0.4017876607804665,0.4069683126676818,0.6129621380846325,0.5861605763055557,2.044161165490553
Panama City,0.725,2.661330448891293,3.025768167777597,0.6131963223363981,0.1378042184964845,0.4936399020906064,0.7515038205169889,0.6246834166228352,2.0758882333088944
Quito,0.725,2.696832925336597,3.0782344764984537,0.5856793145654835,0.1708613831089351,0.48117765887748426,0.7416106430658385,0.6182161993593167,2.046896930066052
Rio de Janeiro,0.7,2.786773090079817,3.0861653990565125,0.6530954457039372,0.1515862901603058,0.479348377866999,0.7176759410801965,0.6239372666595149,2.0518109858479257
Santiago,0.65,2.90859382720116,3.2009920500101923,0.6113343654270562,0.2234922098883362,0.4543405779204742,0.6876174945074855,0.6118232079220822,2.1228562023574833
Sao Paulo,0.675,3.0155783891282733,3.2097164211914704,0.690615921542631,0.2048197469242917,0.4525467568643057,0.6632226863046823,0.6177745895074538,1.9657026711265462
Dubai,0.725,2.889849910964131,3.037235915492958,0.8138514372933096,0.0704019333502925,0.49086116752365727,0.6920774647887324,0.6405457811271997,1.9131242740998837
Istanbul,0.675,2.995316544102543,3.167770782756586,0.7372334743847829,0.1660572696273776,0.4613033850047455,0.667709061981374,0.6246312322524161,1.9786280672588181
Riyadh,0.675,3.048165489714461,3.143333794996412,0.8233804114215536,0.1288378876266503,0.46656288550784225,0.6561323546076074,0.6320424002526039,1.945616010437487
Tehran,0.7,2.5238751576881744,2.9624573062932145,0.5664860066345839,0.1263023875157688,0.5095652255940533,0.7924322222942141,0.6248642133671398,2.304269665660164
Tel Aviv,0.675,2.85432680971469,3.1255989161682582,0.656873378920066,0.1676962980429144,0.47045564071074353,0.7006906122988468,0.6216476446413872,2.079132114167648
Boston,0.675,2.8883516660622908,3.1598359512317606,0.650952898988678,0.1836496232724928,0.4629981269779759,0.6924364590017578,0.6191020605979602,2.0530335333838234
Chicago,0.6,3.2926093514328807,3.525286303252405,0.4122926093514328,0.4702111613876319,0.39599470314002216,0.6074209803023363,0.5713408669791304,2.0250463821892395
Los Angeles,0.6,3.106912028725314,3.353326976972639,0.5534560143626571,0.3221723518850987,0.4249303262083952,0.6437259830689666,0.5965189729036939,2.1572102299877427
Miami,0.6,3.1959072457320805,3.387597438752784,0.5763776900405939,0.3362064171717733,0.41883107418743626,0.6258003897550111,0.5964458763612537,2.0898655773869406
Montreal,0.625,3.157091517747256,3.363137377202557,0.5367990941761434,0.3387978142076502,0.4231662575553621,0.6334944643692498,0.5936174823703804,2.02755681458905
New York City,0.575,3.394499975135512,3.579695282742456,0.4171266597046099,0.510666865582575,0.387642682719064,0.5891883973044242,0.5686540264490313,2.0505995141192757
San Francisco,0.6,3.224830464267084,3.4877062439340016,0.4497478699356633,0.4260998087289167,0.4019767215033488,0.6201876415399546,0.5784133366942564,2.0696350853699363
Seattle,0.65,3.0166192373363687,3.2636126938606087,0.6164484917472965,0.2519635742743312,0.44177168767086755,0.6629938492887061,0.6083977700471199,2.040796621113303
Toronto,0.65,2.962308125050229,3.220618556701031,0.6018645021297114,0.238608052720405,0.4503249767873723,0.6751492132392838,0.6093514625076226,2.08049670024314
Vancouver,0.625,3.058752352783006,3.3380510746780363,0.528367840817424,0.3230034955633235,0.42770665313105105,0.6538613687310448,0.5947690996506795,2.0968277082450095
Auckland,0.725,2.67693289715152,2.9823546944858417,0.6775712120003191,0.0942312295539775,0.5044505924099357,0.747123695976155,0.6340596868091446,2.0629518902529522
Brisbane,0.7,2.776273728244998,3.036163074998578,0.7059473538813686,0.1108567820355973,0.491119798938844,0.7203900608403935,0.631978682697391,2.060005187286129
Melbourne,0.7,2.9453954125299555,3.133976482439317,0.7346513750998517,0.1504051124044277,0.4686087256486139,0.6790259777997326,0.6267534266124409,1.9418175369585196
Sydney,0.7,2.792077425163178,3.052139425402251,0.6986720684222373,0.1199639882961962,0.48729632481184093,0.7163125141069874,0.630326254748881,2.047719212194386
