graph,arm,target_fraction,achieved_fraction,accepted_swaps,chi_chord,pc,mean_degree,pc_k_over_2,mean_chord_len_ratio,seconds
gabriel20k,cross,0.005,0.00499034531183389,199,1.44263610602603,0.475,3.9877,0.9470787499999999,0.012280790630505342,11.9
gabriel20k,cross,0.01,0.010005767735787546,399,3.8691225518469294,0.45,3.9877,0.8972325,0.017638880829872708,34.9
gabriel20k,cross,0.02,0.020011535471575092,798,10.900293402211801,0.425,3.9877,0.8473862499999999,0.02761728857186089,78.6
gabriel20k,cross,0.04,0.03999799383103042,1595,33.58888582390852,0.4,3.9877,0.79754,0.04636186759399135,160.8
gabriel20k,cross,0.08,0.07999598766206084,3190,114.09880382175189,0.375,3.9877,0.7476937499999999,0.08355938334050625,323.8
delaunay20k,cross,0.005,0.005002751513332333,300,2.1646905798189002,0.3,5.9967,0.8995049999999999,0.013265916207476025,23.9
delaunay20k,cross,0.01,0.010005503026664666,600,5.642369970150249,0.3,5.9967,0.8995049999999999,0.018302590989366554,70.1
delaunay20k,cross,0.02,0.019994330214951558,1199,16.60776760551637,0.275,5.9967,0.82454625,0.02833389641672256,163.7
delaunay20k,cross,0.04,0.040005336268280886,2399,52.448479997331866,0.25,5.9967,0.7495875,0.04747681623283687,336.1
delaunay20k,cross,0.08,0.079993996698184,4797,168.98707622525723,0.25,5.9967,0.7495875,0.08340543685700222,707.9
tehran_iran,cross,0.005,0.004998752621804171,541,2.4747983405250076,0.65,2.5283137877867587,0.8217019810306966,159.20260620489637,71.6
tehran_iran,cross,0.01,0.009997505243608342,1082,7.120330416624317,0.65,2.5283137877867587,0.8217019810306966,248.26851424186037,212.2
tehran_iran,cross,0.02,0.020004250325704305,2165,23.129246860764873,0.625,2.5283137877867587,0.7900980586833621,424.44227588427646,476.3
tehran_iran,cross,0.04,0.03999926081292099,4329,80.6905578090495,0.6,2.5283137877867587,0.7584941363360276,768.2726059269338,1044.2
tehran_iran,cross,0.08,0.07999852162584198,8658,280.7511711495283,0.575,2.5283137877867587,0.7268902139886931,1411.6075388630966,2289.5
bengaluru_india,cross,0.005,0.004998975319846591,683,3.0403943554761836,0.625,2.6959756109592825,0.8424923784247758,159.05632636374526,121.6
bengaluru_india,cross,0.01,0.009997950639693182,1366,9.301270603390227,0.6,2.6959756109592825,0.8087926832877848,257.15617354498903,343.6
bengaluru_india,cross,0.02,0.020003220423339286,2733,31.125413531633342,0.6,2.6959756109592825,0.8087926832877848,455.26322150671217,808.6
bengaluru_india,cross,0.04,0.03999912170272565,5465,106.91744005621102,0.575,2.6959756109592825,0.7750929881507936,826.7906680391583,1770.9
bengaluru_india,cross,0.08,0.0799982434054513,10930,364.0830137307141,0.55,2.6959756109592825,0.7413932930138027,1511.6015113905994,3822.3
osaka_japan,cross,0.005,0.005001080925272033,694,3.1736902788787202,0.575,3.0017304780445597,0.8629975124378109,159.35723818420303,125.9
osaka_japan,cross,0.01,0.010002161850544066,1388,9.229033652806802,0.575,3.0017304780445597,0.8629975124378109,255.56399368085587,357.1
osaka_japan,cross,0.02,0.01999711753260791,2775,30.67375513439504,0.55,3.0017304780445597,0.825475881462254,450.42375433182576,845.4
osaka_japan,cross,0.04,0.04000144123369604,5551,106.21475823304749,0.525,3.0017304780445597,0.787954250486697,825.8695637478365,1868.0
osaka_japan,cross,0.08,0.08000288246739208,11102,368.64596094256683,0.5,3.0017304780445597,0.7504326195111399,1524.1883080074417,4009.7
cairo_egypt,cross,0.005,0.005001285520145937,817,3.440290649983472,0.65,2.7632765255634966,0.8980648708081365,152.18626346760382,184.1
cairo_egypt,cross,0.01,0.010002571040291874,1634,10.055840546529708,0.625,2.7632765255634966,0.8635239142385926,242.86323125341087,502.3
cairo_egypt,cross,0.02,0.019999020556079286,3267,34.19467672229092,0.6,2.7632765255634966,0.828982957669049,431.59299244682927,1174.5
cairo_egypt,cross,0.04,0.03999804111215857,6534,122.31324453041786,0.575,2.7632765255634966,0.7944420010995052,798.2265195797409,2633.0
cairo_egypt,cross,0.08,0.08000220374882161,13069,427.6388729049082,0.55,2.7632765255634966,0.7599010445299617,1476.7776423401447,5678.2
gabriel20k,noncross,0.005,0.00022569400907791458,9,0.00015046267271860974,0.525,3.9877,1.04677125,0.007067453470071177,304.8
gabriel20k,noncross,0.01,0.0007773904757128169,31,0.00045138801815582916,0.525,3.9877,1.04677125,0.007071690496965806,888.6
gabriel20k,noncross,0.02,0.001655089399904707,66,0.0007272362514732804,0.525,3.9877,1.04677125,0.007084072854334602,2049.7
gabriel20k,noncross,0.04,0.0032098703513303408,128,0.0014293953908267923,0.525,3.9877,1.04677125,0.007102369497755549,4347.5
gabriel20k,noncross,0.08,0.006093738245103694,243,0.00278355944529428,0.525,3.9877,1.04677125,0.007132277568645742,8785.5
delaunay20k,noncross,0.005,0.0,0,0.0,0.325,5.9967,0.97446375,0.008330622207168294,659.8
delaunay20k,noncross,0.01,0.0,0,0.0,0.325,5.9967,0.97446375,0.008330622207168294,1984.4
delaunay20k,noncross,0.02,0.0,0,0.0,0.325,5.9967,0.97446375,0.008330622207168294,4623.4
delaunay20k,noncross,0.04,0.0,0,0.0,0.325,5.9967,0.97446375,0.008330622207168294,9652.4
delaunay20k,noncross,0.08,0.0,0,0.0,0.325,5.9967,0.97446375,0.008330622207168294,19800.9
tehran_iran,noncross,0.005,0.0001293577388267253,14,0.03730122797453501,0.7,2.5283137877867587,0.8849098257253655,69.0380832758123,766.5
tehran_iran,noncross,0.01,0.0004157927319430456,45,0.037402866197898864,0.7,2.5283137877867587,0.8849098257253655,69.12905169949337,2281.8
tehran_iran,noncross,0.02,0.0011549798109529046,125,0.037726260544965674,0.7,2.5283137877867587,0.8849098257253655,69.26593103803152,5251.4
tehran_iran,noncross,0.04,0.0023746384913191716,257,0.038299130531198315,0.7,2.5283137877867587,0.8849098257253655,69.46240074686617,10937.7
tehran_iran,noncross,0.08,0.004887874559952692,529,0.03938943147273786,0.7,2.5283137877867587,0.8849098257253655,70.05095669779294,22320.1
