city,country,macro_region,replicate,n_nodes,n_edges,pc_cebh,pc_road,road_gap,pc_geometry_null,pc_geometry_null_ci_low,pc_geometry_null_ci_high,geometry_null_gap,road_minus_geometry,threshold_boundary_hit,runtime_seconds,accepted_swaps,attempted_swaps,acceptance_rate,accepted_swaps_per_edge,target_swaps,target_swap_fraction,topology_rejects,length_rejects,crossing_rejects,degree_max_abs_drift,length_bin_tvd,length_mean_ratio,length_median_ratio,stale_index_guard_calls,max_attempts,status,notes
Amsterdam,Netherlands,Europe,0,23201,32887,0.466680857102313,0.7,0.2333191428976869,0.675,0.65,0.675,0.20831914289768705,0.02499999999999991,False,5.321834564208984,164,77176,0.0021250129573960816,0.004986772888983489,164,0.005,3625,70691,2696,0,0.0,1.0055847496836623,1.000324659442596,478,147600,pass,strict non-crossing degree-preserving geometry-null pilot
Dubai,United Arab Emirates,Middle East,0,15724,22720,0.4908611675236571,0.725,0.2341388324763428,0.7,0.7,0.7,0.20913883247634285,0.025000000000000022,False,3.3215110301971436,114,46794,0.0024362097704833953,0.005017605633802817,114,0.005,2003,42751,1926,0,0.0,1.0015847451053035,1.0008848157882018,338,102600,pass,strict non-crossing degree-preserving geometry-null pilot
Dar es Salaam,Tanzania,Africa,0,22312,29826,0.5075988359230076,0.775,0.2674011640769924,0.725,0.725,0.75,0.2174011640769924,0.050000000000000044,False,5.400001049041748,149,80694,0.0018464817706397006,0.004995641386709582,149,0.005,3519,74375,2651,0,0.0,1.0047404667797717,1.0001696260844204,454,134100,pass,strict non-crossing degree-preserving geometry-null pilot
Rio de Janeiro,Brazil,Latin America,0,14909,20774,0.479348377866999,0.7,0.2206516221330009,0.7,0.7,0.7,0.22065162213300094,0.0,False,3.6775009632110596,104,54833,0.001896668064851458,0.0050062578222778474,104,0.005,2563,50448,1718,0,0.0,1.0070673142761895,1.0007284403604655,292,93600,pass,strict non-crossing degree-preserving geometry-null pilot
Kuala Lumpur,Malaysia,Asia,0,37213,50999,0.4969016115517276,0.7,0.2030983884482723,0.7,0.7,0.725,0.20309838844827238,0.0,False,10.999066591262817,255,155352,0.0016414336474586744,0.005000098041138061,255,0.005,6751,142872,5474,0,0.0,1.0031080436207933,1.0001482135526287,841,229500,pass,strict non-crossing degree-preserving geometry-null pilot
Seattle,United States,North America,0,17570,26501,0.4417716876708675,0.65,0.2082283123291324,0.7,0.65,0.725,0.25822831232913246,-0.04999999999999993,False,3.8035733699798584,133,56368,0.002359494748793642,0.005018678540432436,133,0.005,2887,51269,2079,0,0.0,1.0008832989576173,1.0005003344041934,340,119700,pass,strict non-crossing degree-preserving geometry-null pilot
Sydney,Australia,Oceania,0,22215,31013,0.487296324811841,0.7,0.2127036751881589,0.7,0.675,0.725,0.21270367518815897,0.0,False,5.617899179458618,155,85428,0.0018143934073137614,0.004997904104730274,155,0.005,3809,78708,2756,0,0.0,1.0028393249636376,0.999957613414406,444,139500,pass,strict non-crossing degree-preserving geometry-null pilot
Nairobi,Kenya,Africa,0,22960,28157,0.5433092136999518,0.825,0.2816907863000482,0.8,0.75,0.8512499999999995,0.25669078630004827,0.02499999999999991,False,4.049176931381226,141,57756,0.0024413047995013506,0.005007635756650211,141,0.005,2184,53455,1976,0,0.0,1.0047231292819634,1.000101021906695,407,126900,pass,strict non-crossing degree-preserving geometry-null pilot
Taipei,Taiwan,Asia,0,16388,24900,0.431684610183596,0.6,0.1683153898164039,0.6,0.6,0.625,0.16831538981640398,0.0,False,4.66032338142395,124,68962,0.0017980917026768366,0.00497991967871486,124,0.005,3539,62393,2906,0,0.0,1.0061589119165923,1.0002946888319242,400,111600,pass,strict non-crossing degree-preserving geometry-null pilot
Chicago,United States,North America,0,13260,21830,0.3959947031400221,0.6,0.2040052968599778,0.6,0.6,0.6,0.20400529685997787,0.0,False,5.552265882492065,109,87651,0.0012435682422334028,0.0049931287219422815,109,0.005,5509,79184,2849,0,0.0,1.001921885706158,1.0000837860758742,309,98100,pass,strict non-crossing degree-preserving geometry-null pilot
Rome,Italy,Europe,0,25843,37062,0.4705329710788918,0.675,0.2044670289211081,0.7,0.675,0.7,0.22946702892110815,-0.02499999999999991,False,6.076214790344238,185,88871,0.0020816689358733446,0.004991635637580271,185,0.005,4134,81490,3062,0,0.0,1.0065233689440753,1.000979231832127,554,166500,pass,strict non-crossing degree-preserving geometry-null pilot
Hong Kong,China,Asia,0,9035,13245,0.4651775366136339,0.675,0.2098224633863661,0.675,0.65,0.725,0.20982246338636612,0.0,False,2.364455223083496,66,36614,0.001802589173540176,0.004983012457531144,66,0.005,1738,33433,1377,0,0.0,1.009052752535733,1.0000936764448924,204,59400,pass,strict non-crossing degree-preserving geometry-null pilot
Kampala,Uganda,Africa,0,35927,41391,0.574452139397388,0.825,0.2505478606026119,0.825,0.8,0.825,0.2505478606026119,0.0,False,8.487704753875732,207,127424,0.0016244977398292314,0.0050010871928680145,207,0.005,4396,118997,3824,0,0.0,1.0056941336248448,1.0002488154525775,642,186300,pass,strict non-crossing degree-preserving geometry-null pilot
Buenos Aires,Argentina,Latin America,0,21642,37472,0.3806157377781841,0.575,0.1943842622218158,0.575,0.55,0.6,0.19438426222181587,0.0,False,10.71583867073059,179,168300,0.001063576945929887,0.004776900085397096,187,0.005,10941,151880,5300,0,0.0,1.0030948485131925,1.000033189513681,533,168300,pass,strict non-crossing degree-preserving geometry-null pilot
Montevideo,Uruguay,Latin America,0,13761,22450,0.4069683126676818,0.6,0.1930316873323181,0.625,0.599375,0.625,0.2180316873323182,-0.025000000000000022,False,4.610886573791504,112,70276,0.0015937162046786954,0.004988864142538975,112,0.005,4122,63380,2662,0,0.0,1.0064626874549283,1.0,336,100800,pass,strict non-crossing degree-preserving geometry-null pilot
Chennai,India,Asia,0,42444,56880,0.498448919501551,0.725,0.2265510804984489,0.725,0.725,0.725,0.22655108049844896,0.0,False,10.973686933517456,284,161502,0.0017584921548959146,0.0049929676511954995,284,0.005,6943,149195,5080,0,0.0,1.002549768835938,1.0002939012308356,818,255600,pass,strict non-crossing degree-preserving geometry-null pilot
Dakar,Senegal,Africa,0,28624,43129,0.4600377595972308,0.7,0.2399622404027691,0.675,0.675,0.7,0.21496224040276923,0.02499999999999991,False,9.671077251434326,216,147585,0.0014635633702612053,0.005008231120591713,216,0.005,7204,135206,4959,0,0.0,1.0029400506543833,1.0001328903411812,653,194400,pass,strict non-crossing degree-preserving geometry-null pilot
Singapore,Singapore,Asia,0,13478,19430,0.4668204315025708,0.675,0.2081795684974292,0.675,0.675,0.7,0.20817956849742925,0.0,False,3.355884552001953,97,49290,0.0019679448163927773,0.004992279979413278,97,0.005,2260,45079,1854,0,0.0,1.0019553303337816,1.0000457953380757,280,87300,pass,strict non-crossing degree-preserving geometry-null pilot
Miami,United States,North America,0,17983,28736,0.4188310741874362,0.6,0.1811689258125637,0.625,0.6,0.65,0.2061689258125638,-0.025000000000000022,False,3.5632026195526123,144,48517,0.0029680318238967784,0.005011135857461025,144,0.005,2839,43681,1853,0,0.0,1.0040939054274023,1.0001564956361013,369,129600,pass,strict non-crossing degree-preserving geometry-null pilot
Ho Chi Minh City,Vietnam,Asia,0,40466,51958,0.5059497146863499,0.725,0.2190502853136501,0.725,0.7,0.75,0.21905028531365012,0.0,False,9.707970142364502,260,145625,0.0017854077253218884,0.005004041726009469,260,0.005,6103,134439,4823,0,0.0,1.0048247461431037,1.0004611118321582,821,234000,pass,strict non-crossing degree-preserving geometry-null pilot
Barcelona,Spain,Europe,0,18674,28820,0.438814196750765,0.625,0.1861858032492349,0.65,0.625,0.65,0.21118580324923503,-0.025000000000000022,False,5.22686243057251,144,79321,0.0018154082777574665,0.004996530187369882,144,0.005,4155,72119,2903,0,0.0,1.0039827478871894,1.0002354378842266,411,129600,pass,strict non-crossing degree-preserving geometry-null pilot
