city,domain,mean_degree,pc_obs,pc_cebh,fc_obs,fc_cebh,fc_derived,margin_cebh,margin_true,margin_derived,flip
Accra,road,2.6747641140593235,0.725,0.5030786728370853,0.275,0.4969213271629147,0.252270512570649,0.09692132716291468,-0.125,-0.14772948742935105,True
Addis Ababa,road,2.8295156427424724,0.7,0.482274189457948,0.3,0.517725810542052,0.2931652436239846,0.117725810542052,-0.10000000000000003,-0.10683475637601542,True
Algiers,road,2.661843984702576,0.75,0.5065855241235377,0.25,0.4934144758764622,0.2486411632335123,0.09341447587646218,-0.15000000000000002,-0.15135883676648773,True
Cairo,road,2.762988962659111,0.7,0.4905812814983452,0.3,0.5094187185016548,0.2761462217079606,0.10941871850165474,-0.10000000000000003,-0.12385377829203942,True
Casablanca,road,3.019002761084944,0.675,0.4598827284198025,0.3249999999999999,0.5401172715801975,0.337529588982139,0.1401172715801975,-0.07500000000000012,-0.06247041101786105,True
Dakar,road,3.01348518725545,0.7,0.4600377595972308,0.3,0.5399622404027692,0.3363166315008463,0.13996224040276917,-0.10000000000000003,-0.06368336849915374,True
Dar es Salaam,road,2.6735389028325565,0.775,0.5075988359230076,0.2249999999999999,0.4924011640769924,0.2519278481861463,0.09240116407699239,-0.17500000000000013,-0.14807215181385375,True
Johannesburg,road,2.9250627465041235,0.65,0.454250595097234,0.35,0.545749404902766,0.3162539838195636,0.145749404902766,-0.050000000000000044,-0.08374601618043642,True
Kampala,road,2.3041723494864588,0.825,0.574452139397388,0.175,0.4255478606026119,0.1320093740185064,0.025547860602611883,-0.22500000000000003,-0.2679906259814936,True
Lagos,road,2.7146529562982007,0.75,0.4953369019369792,0.25,0.5046630980630208,0.2632575757575758,0.10466309806302077,-0.15000000000000002,-0.13674242424242422,True
Nairobi,road,2.452700348432056,0.825,0.5433092136999518,0.175,0.4566907863000482,0.1845722200518522,0.0566907863000482,-0.22500000000000003,-0.21542777994814782,True
Tunis,road,2.8892789109822137,0.7,0.4801932298410621,0.3,0.519806770158938,0.3077857619082895,0.11980677015893793,-0.10000000000000003,-0.09221423809171053,True
Bangkok,road,2.2628538964113245,0.85,0.5689051824695883,0.15,0.4310948175304117,0.1161603481462882,0.031094817530411656,-0.25,-0.28383965185371185,True
Bengaluru,road,2.695482305119528,0.7,0.487624045120297,0.3,0.512375954879703,0.2580177594928369,0.11237595487970298,-0.10000000000000003,-0.14198224050716313,True
Chennai,road,2.6802374893977947,0.725,0.498448919501551,0.275,0.501551080498449,0.2537974683544304,0.10155108049844896,-0.125,-0.14620253164556962,True
Delhi,road,2.8958888401740244,0.7,0.4689645379225219,0.3,0.5310354620774781,0.3093657559453101,0.13103546207747807,-0.10000000000000003,-0.09063424405468995,True
Dhaka,road,2.674616884926164,0.725,0.501127631139325,0.275,0.498872368860675,0.2522293524460373,0.09887236886067496,-0.125,-0.14777064755396274,True
Hanoi,road,2.720736698499318,0.75,0.4889668023341342,0.25,0.5110331976658657,0.2649049791906935,0.11103319766586572,-0.15000000000000002,-0.13509502080930652,True
Ho Chi Minh City,road,2.567982998072456,0.725,0.5059497146863499,0.275,0.4940502853136501,0.2211786442896185,0.09405028531365006,-0.125,-0.17882135571038152,True
Hong Kong,road,2.931931377974544,0.675,0.4651775366136339,0.3249999999999999,0.5348224633863661,0.3178557946394867,0.13482246338636605,-0.07500000000000012,-0.08214420536051331,True
Hyderabad,road,2.683174048608078,0.75,0.4881558622014944,0.25,0.5118441377985057,0.2546141384165821,0.11184413779850566,-0.15000000000000002,-0.14538586158341793,True
Jakarta,road,2.609137662958976,0.7,0.512325721577254,0.3,0.487674278422746,0.2334632133852853,0.087674278422746,-0.10000000000000003,-0.16653678661471472,True
Karachi,road,3.0290666462152007,0.675,0.4466206054300997,0.3249999999999999,0.5533793945699004,0.33973060563095,0.15337939456990035,-0.07500000000000012,-0.060269394369050044,True
Kuala Lumpur,road,2.74092387069035,0.7,0.4969016115517276,0.3,0.5030983884482725,0.2703190258632522,0.10309838844827246,-0.10000000000000003,-0.12968097413674784,True
Manila,road,2.934929599872723,0.65,0.4492979529208324,0.35,0.5507020470791676,0.3185526494104892,0.15070204707916757,-0.050000000000000044,-0.0814473505895108,True
Mumbai,road,2.7366174055829227,0.725,0.4825037154272258,0.275,0.5174962845727742,0.2691707668306732,0.11749628457277417,-0.125,-0.13082923316932682,True
Osaka,road,3.0,0.625,0.4467357272621854,0.375,0.5532642727378145,0.3333333333333333,0.1532642727378145,-0.025000000000000022,-0.06666666666666671,True
Seoul,road,2.9877833208940565,0.675,0.4516653899369949,0.3249999999999999,0.5483346100630051,0.3306074151985274,0.14833461006300508,-0.07500000000000012,-0.06939258480147265,True
Singapore,road,2.88321709452441,0.675,0.4668204315025708,0.3249999999999999,0.5331795684974292,0.3063304168811117,0.13317956849742918,-0.07500000000000012,-0.09366958311888834,True
Taipei,road,3.0388088845496704,0.6,0.431684610183596,0.4,0.568315389816404,0.3418473895582329,0.16831538981640393,0.0,-0.058152610441767116,False
Tokyo,road,3.158308244650878,0.625,0.4276266169078313,0.375,0.5723733830921687,0.3667495870970373,0.17237338309216865,-0.025000000000000022,-0.03325041290296271,True
Amsterdam,road,2.8349640101719755,0.7,0.466680857102313,0.3,0.533319142897687,0.2945236719676468,0.13331914289768698,-0.10000000000000003,-0.10547632803235324,True
Athens,road,3.231728892698853,0.625,0.4135569642707098,0.375,0.5864430357292902,0.3811362071495491,0.18644303572929022,-0.025000000000000022,-0.018863792850450922,True
Barcelona,road,3.086644532505088,0.625,0.438814196750765,0.375,0.561185803249235,0.3520471894517698,0.16118580324923493,-0.025000000000000022,-0.047952810548230196,True
Lisbon,road,2.7538784381323542,0.75,0.4955161486076462,0.25,0.5044838513923537,0.2737515308205198,0.10448385139235372,-0.15000000000000002,-0.12624846917948024,True
London,road,2.589373978863773,0.775,0.5199847165924646,0.2249999999999999,0.4800152834075354,0.227612536340692,0.08001528340753539,-0.17500000000000013,-0.17238746365930802,True
Milan,road,2.9665436176413444,0.65,0.4648772408417771,0.35,0.5351227591582228,0.3258147333123755,0.1351227591582228,-0.050000000000000044,-0.07418526668762454,True
Paris,road,2.987116331943918,0.65,0.453974052043998,0.35,0.546025947956002,0.3304579474819231,0.146025947956002,-0.050000000000000044,-0.06954205251807694,True
Prague,road,2.7619143882346995,0.7,0.4768012005095185,0.3,0.5231987994904814,0.2758645928636779,0.1231987994904814,-0.10000000000000003,-0.1241354071363221,True
Rome,road,2.868242851062184,0.675,0.4705329710788918,0.3249999999999999,0.5294670289211082,0.302708974151422,0.12946702892110817,-0.07500000000000012,-0.09729102584857802,True
Vienna,road,2.9657949968801405,0.675,0.4456985030858935,0.3249999999999999,0.5543014969141065,0.3256445566521306,0.15430149691410644,-0.07500000000000012,-0.07435544334786942,True
Warsaw,road,2.76885451029462,0.7,0.4800796812749004,0.3,0.5199203187250996,0.2776796351834355,0.11992031872509956,-0.10000000000000003,-0.1223203648165645,True
Bogota,road,2.966545668596096,0.65,0.4493951193413192,0.35,0.5506048806586807,0.325815199417951,0.15060488065868072,-0.050000000000000044,-0.07418480058204902,True
Buenos Aires,road,3.462896220312356,0.575,0.3806157377781841,0.425,0.619384262221816,0.4224487617421009,0.21938426222181595,0.024999999999999967,0.022448761742100865,False
Lima,road,3.068042906294272,0.65,0.4428345242198864,0.35,0.5571654757801137,0.348118634228719,0.15716547578011364,-0.050000000000000044,-0.051881365771280996,True
Mexico City,road,3.0717481190266387,0.625,0.4265999557561695,0.375,0.5734000442438305,0.3489049484194847,0.1734000442438305,-0.025000000000000022,-0.051095051580515305,True
Montevideo,road,3.2628442700385145,0.6,0.4069683126676818,0.4,0.5930316873323183,0.3870378619153675,0.19303168733231824,0.0,-0.012962138084632535,False
Panama City,road,2.661330448891293,0.725,0.4936399020906064,0.275,0.5063600979093936,0.248496179483011,0.1063600979093936,-0.125,-0.15150382051698902,True
Quito,road,2.696832925336597,0.725,0.4811776588774842,0.275,0.5188223411225158,0.2583893569341615,0.11882234112251577,-0.125,-0.14161064306583854,True
Rio de Janeiro,road,2.786773090079817,0.7,0.479348377866999,0.3,0.520651622133001,0.2823240589198035,0.12065162213300096,-0.10000000000000003,-0.11767594108019652,True
Santiago,road,2.90859382720116,0.65,0.4543405779204741,0.35,0.5456594220795259,0.3123825054925144,0.14565942207952587,-0.050000000000000044,-0.08761749450748563,True
Sao Paulo,road,3.0155783891282733,0.675,0.4525467568643056,0.3249999999999999,0.5474532431356944,0.3367773136953177,0.1474532431356944,-0.07500000000000012,-0.06322268630468231,True
Dubai,road,2.889849910964131,0.725,0.4908611675236571,0.275,0.5091388324763428,0.3079225352112675,0.10913883247634282,-0.125,-0.09207746478873252,True
Istanbul,road,2.995316544102543,0.675,0.4613033850047454,0.3249999999999999,0.5386966149952546,0.3322909380186259,0.13869661499525454,-0.07500000000000012,-0.06770906198137411,True
Riyadh,road,3.048165489714461,0.675,0.4665628855078422,0.3249999999999999,0.5334371144921578,0.3438676453923925,0.13343711449215778,-0.07500000000000012,-0.056132354607607515,True
Tehran,road,2.5238751576881744,0.7,0.5095652255940534,0.3,0.4904347744059466,0.2075677777057859,0.0904347744059466,-0.10000000000000003,-0.1924322222942141,True
Tel Aviv,road,2.85432680971469,0.675,0.4704556407107436,0.3249999999999999,0.5295443592892564,0.2993093877011532,0.12954435928925634,-0.07500000000000012,-0.10069061229884685,True
Boston,road,2.8883516660622908,0.675,0.4629981269779758,0.3249999999999999,0.5370018730220242,0.3075635409982422,0.13700187302202416,-0.07500000000000012,-0.09243645900175784,True
Chicago,road,3.2926093514328807,0.6,0.3959947031400221,0.4,0.6040052968599778,0.3925790196976637,0.2040052968599778,0.0,-0.007420980302336344,False
Los Angeles,road,3.106912028725314,0.6,0.4249303262083952,0.4,0.5750696737916048,0.3562740169310334,0.17506967379160476,0.0,-0.043725983068966634,False
Miami,road,3.1959072457320805,0.6,0.4188310741874362,0.4,0.5811689258125639,0.3741996102449889,0.18116892581256383,0.0,-0.025800389755011144,False
Montreal,road,3.157091517747256,0.625,0.4231662575553621,0.375,0.5768337424446379,0.3665055356307501,0.1768337424446379,-0.025000000000000022,-0.03349446436924991,True
New York City,road,3.394499975135512,0.575,0.3876426827190641,0.425,0.6123573172809359,0.4108116026955758,0.21235731728093588,0.024999999999999967,0.010811602695575795,False
San Francisco,road,3.224830464267084,0.6,0.4019767215033488,0.4,0.5980232784966513,0.3798123584600453,0.19802327849665124,0.0,-0.020187641539954726,False
Seattle,road,3.0166192373363687,0.65,0.4417716876708675,0.35,0.5582283123291325,0.3370061507112939,0.15822831232913248,-0.050000000000000044,-0.0629938492887061,True
Toronto,road,2.962308125050229,0.65,0.4503249767873723,0.35,0.5496750232126277,0.3248507867607162,0.1496750232126277,-0.050000000000000044,-0.07514921323928381,True
Vancouver,road,3.058752352783006,0.625,0.4277066531310511,0.375,0.5722933468689488,0.3461386312689551,0.17229334686894882,-0.025000000000000022,-0.05386136873104491,True
Auckland,road,2.67693289715152,0.725,0.5044505924099357,0.275,0.4955494075900643,0.252876304023845,0.09554940759006425,-0.125,-0.14712369597615504,True
Brisbane,road,2.776273728244998,0.7,0.4911197989388439,0.3,0.5088802010611562,0.2796099391596065,0.10888020106115615,-0.10000000000000003,-0.1203900608403935,True
Melbourne,road,2.9453954125299555,0.7,0.4686087256486138,0.3,0.5313912743513862,0.3209740222002674,0.1313912743513862,-0.10000000000000003,-0.07902597779973264,True
Sydney,road,2.792077425163178,0.7,0.487296324811841,0.3,0.5127036751881591,0.2836874858930126,0.11270367518815905,-0.10000000000000003,-0.1163125141069874,True
case1354pegase,power,2.5258493353028064,0.61,0.3339191564147627,0.39,0.6660808435852372,0.2081871345029239,0.2660808435852372,-0.010000000000000009,-0.19181286549707613,True
case2869pegase,power,2.7661205995120253,0.67,0.3161249203314212,0.3299999999999999,0.6838750796685789,0.2769657258064516,0.28387507966857883,-0.07000000000000012,-0.1230342741935484,True
case9241pegase,power,3.0747754572016017,0.69,0.2113602213725694,0.31,0.7886397786274306,0.3495459984514676,0.3886397786274306,-0.09000000000000002,-0.05045400154853241,True
case1888rte,power,2.444915254237288,0.65,0.3413696198787161,0.35,0.6586303801212838,0.1819757365684575,0.2586303801212838,-0.050000000000000044,-0.21802426343154252,True
case2848rte,power,2.417134831460674,0.63,0.3494061516597299,0.37,0.6505938483402701,0.1725740848343985,0.2505938483402701,-0.030000000000000027,-0.2274259151656015,True
case6470rte,power,2.493353941267388,0.61,0.3523655585164476,0.39,0.6476344414835524,0.1978675923630052,0.2476344414835524,-0.010000000000000009,-0.20213240763699483,True
case3120sp,power,2.3615384615384616,0.67,0.5042430878729811,0.3299999999999999,0.4957569121270189,0.1530944625407166,0.09575691212701887,-0.07000000000000012,-0.24690553745928343,True
GBnetwork,power,2.521582733812949,0.65,0.3573340129985982,0.35,0.6426659870014018,0.2068473609129812,0.24266598700140174,-0.050000000000000044,-0.19315263908701882,True
case_illinois200,power,2.45,0.67,0.3804347826086957,0.3299999999999999,0.6195652173913043,0.1836734693877552,0.2195652173913043,-0.07000000000000012,-0.21632653061224483,True
case300,power,2.7266666666666666,0.71,0.3851224105461393,0.29,0.6148775894538607,0.2665036674816625,0.2148775894538607,-0.11000000000000004,-0.13349633251833753,True
